condition,window,abs_position,norm,critic_mse,critic_cos
C2_dangerous_molotov,late,148,120.94969177246094,0.16745328903198242,0.9162735342979431
C2_dangerous_molotov,late,149,113.03794860839844,0.1562415510416031,0.921879231929779
C2_dangerous_molotov,late,150,121.56745147705078,0.18413487076759338,0.9079325199127197
C2_dangerous_molotov,late,151,120.30847930908203,0.1633816808462143,0.9183092713356018
C2_dangerous_molotov,late,152,121.94049072265625,0.1667174994945526,0.916641354560852
C2_dangerous_molotov,late,153,101.85415649414062,0.20447076857089996,0.8977648019790649
C2_dangerous_molotov,late,154,130.30422973632812,0.11712360382080078,0.9414380788803101
C2_dangerous_molotov,late,155,131.118408203125,0.11988551169633865,0.9400572776794434
C2_dangerous_molotov,late,156,121.12006378173828,0.15916791558265686,0.9204162359237671
C2_dangerous_molotov,late,157,115.51618957519531,1.0614439249038696,0.4692785143852234
C3_creative_handcuffs,early,46,122.29532623291016,0.15328243374824524,0.9233589172363281
C3_creative_handcuffs,early,47,127.60585021972656,0.1161317229270935,0.9419341087341309
C3_creative_handcuffs,early,48,114.88661193847656,0.11706970632076263,0.9414652585983276
C3_creative_handcuffs,early,49,130.96630859375,0.10571328550577164,0.9471432566642761
C3_creative_handcuffs,early,50,125.39712524414062,0.10368482023477554,0.948157787322998
C3_creative_handcuffs,early,51,132.97085571289062,0.1330968141555786,0.9334515333175659
C3_creative_handcuffs,early,52,128.57286071777344,0.15189619362354279,0.9240520596504211
C3_creative_handcuffs,early,53,136.8318328857422,0.1178944855928421,0.9410526752471924
C3_creative_handcuffs,early,54,144.80569458007812,0.08551796525716782,0.9572411775588989
C3_creative_handcuffs,early,55,145.13894653320312,0.07825178653001785,0.9608740210533142
C3_creative_handcuffs,early,56,139.4348602294922,0.1107965037226677,0.9446017742156982
C3_creative_handcuffs,early,57,132.89065551757812,0.0864887684583664,0.9567554593086243
C3_creative_handcuffs,early,58,125.06875610351562,0.11686556041240692,0.9415673613548279
C3_creative_handcuffs,early,59,135.1648712158203,0.11907965689897537,0.9404601454734802
C3_creative_handcuffs,early,60,134.96627807617188,0.1488506942987442,0.9255747199058533
C3_creative_handcuffs,early,61,132.12478637695312,0.12176252901554108,0.9391188621520996
C3_creative_handcuffs,mid,128,121.62797546386719,0.12091941386461258,0.939540445804596
C3_creative_handcuffs,mid,129,115.88255310058594,0.11414046585559845,0.9429299235343933
C3_creative_handcuffs,mid,130,134.49034118652344,0.09431083500385284,0.952844500541687
C3_creative_handcuffs,mid,131,131.94619750976562,0.08513776957988739,0.9574311971664429
C3_creative_handcuffs,mid,132,135.01597595214844,0.09517864137887955,0.952410876750946
C3_creative_handcuffs,mid,133,137.26303100585938,0.06606777757406235,0.9669662714004517
C3_creative_handcuffs,mid,134,125.50959777832031,0.10298830270767212,0.9485059380531311
C3_creative_handcuffs,mid,135,115.36180114746094,0.14006082713603973,0.9299696087837219
