plan,variant,position,norm,critic_mse,critic_cos
plan_d,D4_chinese_quantum,1,130.66714477539062,0.0866791382431984,0.9566604495048523
plan_d,D4_chinese_quantum,2,126.78843688964844,0.07133395969867706,0.9643330574035645
plan_d,D4_chinese_quantum,3,121.62943267822266,0.14025643467903137,0.9298717379570007
plan_d,D4_chinese_quantum,4,128.78256225585938,0.17944225668907166,0.9102790355682373
plan_d,D4_chinese_quantum,5,129.296142578125,0.1705842912197113,0.9147079586982727
plan_d,D4_chinese_quantum,6,126.61542510986328,0.1310620903968811,0.9344689846038818
plan_d,D4_chinese_quantum,7,123.2235107421875,0.10627388209104538,0.946863055229187
plan_d,D4_chinese_quantum,8,130.82461547851562,0.10280404984951019,0.9485980272293091
plan_d,D4_chinese_quantum,9,123.91765594482422,0.11475498229265213,0.9426228404045105
plan_d,D4_chinese_quantum,10,125.40093994140625,0.09860177338123322,0.9506993889808655
plan_d,D4_chinese_quantum,11,125.87276458740234,0.09509932994842529,0.9524503350257874
plan_d,D4_chinese_quantum,12,126.36064910888672,0.10603762418031693,0.9469814300537109
plan_d,D4_chinese_quantum,13,120.2813491821289,0.08132688701152802,0.9593365788459778
plan_d,D4_chinese_quantum,14,107.4337387084961,0.2768302857875824,0.8615849018096924
plan_d,D4_chinese_quantum,15,126.88013458251953,0.16946136951446533,0.9152694344520569
plan_d,D5_english_quantum,0,133.53269958496094,0.14607694745063782,0.9269618988037109
plan_d,D5_english_quantum,1,127.15577697753906,0.14092490077018738,0.9295375943183899
plan_d,D5_english_quantum,2,143.9591827392578,0.08590538799762726,0.9570474028587341
plan_d,D5_english_quantum,3,135.68975830078125,0.10673671215772629,0.9466316103935242
plan_d,D5_english_quantum,4,129.84844970703125,0.08245426416397095,0.9587730169296265
plan_d,D5_english_quantum,5,139.13169860839844,0.09979180246591568,0.9501041173934937
plan_d,D5_english_quantum,6,129.94485473632812,0.08879824727773666,0.9556007981300354
plan_d,D5_english_quantum,7,133.36009216308594,0.19250120222568512,0.9037494659423828
plan_d,D5_english_quantum,8,129.07281494140625,0.13601820170879364,0.9319909811019897
plan_d,D5_english_quantum,9,120.49723815917969,0.20823881030082703,0.8958806991577148
plan_d,D5_english_quantum,10,135.46934509277344,0.19825567305088043,0.9008722305297852
plan_d,D5_english_quantum,11,137.60365295410156,0.194310262799263,0.9028448462486267
plan_d,D5_english_quantum,12,135.0290985107422,0.11206893622875214,0.943965494632721
plan_d,D5_english_quantum,13,135.98135375976562,0.22055482864379883,0.8897227048873901
plan_d,D5_english_quantum,14,135.12631225585938,0.18490591645240784,0.9075471758842468
plan_d,D5_english_quantum,15,130.0321807861328,0.2088385969400406,0.8955807089805603
plan_e,E1_hidden_preference,0,121.48723602294922,0.1596023589372635,0.9201989769935608
plan_e,E1_hidden_preference,1,127.81246185302734,0.11746560037136078,0.941267192363739
plan_e,E1_hidden_preference,2,117.20152282714844,0.11848153173923492,0.9407593607902527
plan_e,E1_hidden_preference,3,130.4694366455078,0.2097693383693695,0.8951154947280884
plan_e,E1_hidden_preference,4,131.43667602539062,0.13980582356452942,0.9300969839096069
plan_e,E1_hidden_preference,5,136.1696319580078,0.14311030507087708,0.9284448623657227
plan_e,E1_hidden_preference,6,129.6875,0.1645914614200592,0.9177042841911316
plan_e,E1_hidden_preference,7,126.1546401977539,0.14137864112854004,0.9293109178543091
plan_e,E1_hidden_preference,8,124.58695983886719,0.1838490515947342,0.9080755114555359
plan_e,E1_hidden_preference,9,126.75906372070312,0.22990857064723969,0.8850457072257996
plan_e,E1_hidden_preference,10,136.650146484375,0.14973793923854828,0.9251308441162109
plan_e,E1_hidden_preference,11,136.06121826171875,0.1472817361354828,0.9263594150543213
plan_e,E1_hidden_preference,12,132.66905212402344,0.17081443965435028,0.9145930409431458
plan_e,E1_hidden_preference,13,131.48524475097656,0.15905649960041046,0.9204718470573425
